"station_name","lat","lon"
"Dialgaye",11.97,-0.38
"Diapaga",12.0717,1.7889
"Didyr",12.5611,-2.6291
"Dionkele Ndorola",11.77,-4.82
"Dissin",10.9432,-2.9189
"Dissourou",13.1641,-3.4054
"Diébougou",10.96,-3.25
"Djibasso",13.1205,-4.1554
"Djibo",14.0998,-1.6277
"Dori",14.0254,-0.0625
"Doulougou",11.980103,-1.464249
"Doumbala",12.9183,-4.17
"FADA N'GOURMA",12.0666666667,0.35
"FADA N'GOURMA",12.066667,0.35
"Falagountou",14.3603,0.1921
"Fara",11.52,-2.77
"Farakoba",11.0944,-4.3321
"Foutouri",12.7329,1.0723
"GAOUA",10.3333333333,-3.1833333333
"GAOUA",10.33,-3.18
"Gao",11.6571,-2.1797
"Gaongo",12.00433,-1.169026
"Garango",11.8,0.5408
"Gassan",12.8255,-3.2002
"Gayéri",12.65,0.49
"Giga Kaya",12.6244,-0.8348
"Godyr",12.6969,-2.6295
"Gogo",11.552122,-0.956577
"Gomboro",13.4833,-2.7823
"Gombousgou",11.43,-0.77
"Gorgadji",14.0328,-0.5187
"Gori",12.7413,0.0016
"Gorom-Gorom",14.4453,-0.2338
"Gourcy",13.2044,-2.3555
"Guiaro",11.3558,-1.3708
"Guiba",11.720206,-1.147901
"Guibare",13.0906,-1.6048
"Guilongou",12.6142,-1.3022
"Houndé",11.4937,-3.5173
"Imansgho",12.44,-2.34
"Iolonoro",10.7573,-3.4006
"Ipelce",11.9572,-1.5469
"Kaibo",11.718709,-0.962325
"Kamboincé",12.46,-1.55
"Kampti",10.1436,-3.4557
"Kantchari",12.48,1.53
"Karagasso -Vigué",10.8748,-3.941
"Karangasso Sambla",11.2257,-4.6514
"Kari",12.2964,-3.5562
"Karpala",12.31768,-1.462607
"Kassou",11.5811,-2.0469
"Kassoum",13.0743,-3.3032
"Kaya",13.0967,-1.0875
"Kelbo",12.936006,-0.23904
"Kiembara",13.24,-2.72
"Kindi",12.4377,-2.0357
"Kirsi",13.0383,-1.9428
"Kogho",12.654363,-0.672847
"Kokologo",12.18,-1.88
"Kombissiri",12.0743,-1.3421
"Komin-Yanga",11.7133,0.1422
"Komki-Ipala",12.189481,-1.797399
"Kompienga",11.0846,0.7763
"Komsilga",12.186285,-1.629548
"Kongoussi",13.3255,-1.5287
"Kordie",12.597076,-2.364345
"Korsimoro",12.83,-1.07
"Kossodougou",12.93,-0.235
"Koubouré",12.6286,-0.5232
"Koubri",12.1865,-1.4004
"Koudougou",12.2514,-2.4005
"Kougny",12.782056,-3.128639
"Kouka",11.9027,-4.3426
"Koumbia",11.2327,-3.6942
"Koundougou",11.7184,-4.5121
"Koupéla",12.179,-0.3399
"Kourouma",11.6162,-4.7994
"Koutougou",14.5019,-1.0153
"La-Toden",12.9039,-2.4563
"Laba",11.811393,-2.663268
"Legmoin",10.15,-2.9
"Linoghin",12.4765,-1.2069
"Liptougou",13.1769,0.313
"Loropéni",10.2963,-3.527
"Loumana",10.5777,-5.3524
"Loumbila",12.5221,-1.3828
"Léo",11.0961,-2.1006
"Léri",12.76,-3.39
"MANGODARA",9.9,-4.35
"MARKOYE",14.6333333333,-0.0666666667
"Madjoari",11.4727,1.24
"Mahadaga",11.7211,1.764
"Malba",10.4525,-2.9828
"Mane",12.9791,-1.3362
"Manga",11.6845,-1.078
"Mangodara",9.9132,-4.3542
"Manni",13.2547,0.2139
"Mansila",13.1649,0.6379
"Markoye",14.64,0.04
"Matiakouali",12.3655,1.0389
"Meguet",12.4218,-0.7127
"Mogtedo",12.285,-0.8353
"Monkuy",12.2167,-3.7431
"Morolaba",11.9,-5.0167
"Musee Nationale",12.377209,-1.472737
"Namoungou",12.0219,0.604
"Namounou",11.8559,1.6959
"Namssiguima",13.6193,-2.2062
"Nanoro",12.69,-2.19
"Nasso",11.2018,-4.4333
"Nasséré",13.3333,-1.3669
"Ndorola",11.75,-4.81
"Neielanyaou",11.8899,-2.357
"Niangoloko",10.2933,-4.9136
"Niaogho",11.77,-0.77
"Nioko2",12.4304,-1.4486
"Niou",12.766146,-1.936481
"Nobéré",11.5571,-1.1993
"Noghin",12.417,-1.5859
"Nouna",12.73,-3.87
"Nouna",12.7529,-3.8232
"OUAGADOUGOU",12.35,-1.5166666667
"OUAGADOUGOU",12.35,-2.18
"OUAHIGOUYA",13.5833333333,-2.4333333333
"OUAHIGOUYA",13.58,-2.43
"Orodara",10.9809,-4.9087
"Ouahigouya",13.5668,-2.411
"Ouakara",11.8653,-3.6342
"Ouangolodougou",10.0647,-4.8087
"Ouargaye",11.5032,0.0593
"Ouarkoye",12.0878,-3.6703
"Ouintokoulga",13.3405,-0.7795
"Ouo",10.3995,-3.8474
"Ourgou-Manega",12.7775,-1.5094
"Oursi",14.6773,-0.4647
"Oury",11.9666,-3.037
"Ouéléni",10.8484,-5.343
"PO",11.1666666667,-1.15
"PO",11.17,-1.15
"Pa",11.5483,-3.2714
"Pabre",12.52,-1.57
"Pama",12.2442,0.7119
"Pensa-Natenga",13.3405,-0.809
"Pibaore",12.8938,-0.8128
"Piela",12.7,0.1316
"Pissila",13.1677,-0.8295
"Poa",12.2087,-2.1184
"Pobe-Mengao",13.8987,-1.763
"Polesgo",12.5144,-1.4333
"Pompoi",11.8509,-3.2376
"Pouni",11.953104,-2.544125
"Poura",11.6,-2.7631
"Ramongo",12.221514,-2.24657
"Rollo",13.5986,-1.704
"Réo",12.3086,-2.4586
"Sabou",12.0634,-2.22
"Safané",12.13,-3.22
"Safi",12.8775,-0.7419
"Salogo",12.447453,-0.619763
"Samba",12.6883,-2.3781
"Samorogouan",11.3995,-4.9348
"Samou",13.0149,0.1438
"Sampelga",13.756338,0.213219
"Sanaba",12.4015,-3.8128
"Sanare",13.5925,-1.3697
"Sangha",11.18,0.16
"Sapeo",12.5969,-1.7687
"Sapone",12.05,-1.6
"Sapouy",11.5461,-1.7731
"Saria",12.2667,-2.15
"Sebba",13.46,0.5332
"Seytenga",13.9793,0.304
"Siby",11.8647,-2.9762
"Sidéradougou",10.6783,-4.2511
"Sigle",12.558433,-1.899225
"Silly",11.592194,-2.490806
"Sindou",10.6606,-5.1636
"Solenzo",12.1798,-4.0833
"Solhan",13.369725,0.455805
"Somgande",12.4052,-1.5063
"Soubakaniedougou",10.4779,-4.9992
"Souri",12.4299,-3.5151
"Sourou-Gassan",12.82,-3.22
"Sourougbila",12.4125,-1.8082
"Séguénega",13.438,-1.9672
"Tanghin-Dassouri",12.2796,-1.7169
"Tansila",12.4153,-4.3872
"Tchériba",12.2667,-3.0949
"Tenado",12.1951,-2.6133
"Tenkodogo",11.779,-0.3658
"Thiou-Koudougou",11.9533,-2.1988
"Thiou-Ouahigouya",13.8029,-2.6584
"Tikare",13.7686,-2.0739
"Tinacoff",14.9628,-0.1612
"Tiogo",11.4529,-2.2172
"Titabe",13.765591,0.431509
"Tiébélé",11.0976,-0.9219
"Toma",12.7586,-2.8952
"Tongomayel",14.0674,-1.4799
"Touga",13.456127,-1.795635
"Tougan",13.0727,-3.071
"Tougouri",13.313,-0.5236
"Toussiana",10.8357,-4.6177
"Toécé",11.8469,-1.2673
"Toéghin",12.8145,-1.7247
"Toéni",13.2064,-2.121
"Téma Bokin",13.0072,-1.7945
"Vallee du Kou",11.37,-4.38
"Wona",11.9711,-3.4295
"Yako",12.9569,-2.2662
"Yalgo",13.5984,-0.2602
"Yamba",12.3,0.34
"Zabre",11.1829,0.6335
"Zamo",12.0283,-2.7176
"Zeguedeguen",12.9667,-0.4523
"Ziga-Ziniare",12.4888,-1.1104
"Zimtenga",13.4343,-1.5082
"Ziou",11.0427,-0.7743
"Zitenga",12.744341,-1.311484
"Zogoré",13.399,-2.5907
"Zorgho",12.2407,-0.6214
"Zoungou",12.151424,-0.539804
"BUJUMBURA",-3.3166666667,29.316666667
"Bujumbura (ADCON)",-3.32312778,29.32185833
"Bujumbura Aero (Earth network)",-3.321875,29.32206944
"Bujumbura(LSI)",-3.32308889,29.32171667
"Cibitoke",-2.88,29.12
"GITEGA-BURUNDI",-3.423333,29.923333
"Gashikanwa",-2.8658,29.60917
"Gisozi",-3.56667,29.683333
"Gitega",-3.41909,29.91392
"Karuzi",-3.1,30.17
"Kayanza",-2.93,29.61
"MUYINGA",-2.833333333,30.3333333333
"Muramvya",-3.26,29.61
"Muyinga",-2.84411,30.34659
"Nyabiraba (ADCON)",-3.45777,29.44105
"Rutana",-4,30.1
"Ruyigi",-3.47,30.25
"Boa Vista Aeroporto",16.13161111,-22.89144444
"Cape Verde Atmospheric Observatory",16.864025,-24.867519
"INMG HQ SAL",16.731198,-22.935139
"INMG PRAIA ASF",14.96558,-23.5295
"PRAIA",14.9411111111,-23.4847222222
"Porto Novo",17.01964,-25.07611
"SAL",16.7419444444,-22.9488888889
"SAO PEDRO",16.8336111111,-25.0547222222
"ABONG-MBANG",3.9666666667,13.2
"AFAMBA A SANGMELIMA",2.9,11.98333
"AKONOLINGA",3.7669,12.2336
"AMBAM",2.3833,11.2833
