TagInfo,TaxonName,AgeGroup,Height,Spread,DBH,AddInfo,BatBox,BirdBox,Climate_suitability,Lattitude,Longitude
367,Sambucus nigra,Mature,0,0,11.1, ,,,Not provided,51.49553536,-0.178783062
368,Betula alba,Semi-mature,0,0,8.8,Ivy,,,Not provided,51.49562775,-0.178821066
369,Betula alba,Mature,0,0,5.9, ,,,Not provided,51.49550425,-0.178782411
371,Prunus avium,Semi-mature,0,0,5.7, ,,,Vulnerable,51.49561159,-0.178721382
372,Betula pubescens,Mature,0,0,5.8, ,,,Vulnerable,51.49551985,-0.178764018
373,Ilex aquifolium,Semi-mature,0,0,7, ,,,Low,51.49552423,-0.178700075
374,Betula alba,Mature,0,0,13.9,Ivy,,,Not provided,51.49562249,-0.178807317
375,Betula pubescens,Semi-mature,0,0,5, ,,,Vulnerable,51.49546534,-0.178662576
376,Betula alba,Mature,0,0,5.9, ,,,Not provided,51.49565633,-0.178700599
377,Quercus robur,Semi-mature,0,0,4.3, ,,,Low,51.49550504,-0.178756083
378,Corylus avellana,Semi-mature,0,0,6, ,,,Not provided,51.49564631,-0.1786484
379,Betula alba,Mature,0,0,9.9,Ivy,,,Not provided,51.49565523,-0.178833675
380,Quercus petraea,Mature,0,0,8.3, ,,,Not provided,51.49582934,-0.178867936
381,Betula alba,Mature,0,0,17, ,,,Not provided,51.4957713,-0.178863783
382,Euonymus europaeus,Mature,0,0,5.1, ,,,Not provided,51.49566433,-0.17870776
383,Sambucus nigra, ,0,0,7.9, ,,,Not provided,51.4958823,-0.178558114
384,Acer campestre, ,0,0,7.3, ,,,Low,51.49589522,-0.178599616
385,Corylus avellana,Semi-mature,0,0,4.6, ,,,Not provided,51.49590341,-0.178754768
386,Quercus robur,Semi-mature,0,0,4.9, ,,,Low,51.49595831,-0.178780029
387,Ilex aquifolium,Mature,0,0,6.9, ,,,Low,51.49581554,-0.178691386
387,Betula alba, ,0,0,6.7, ,,,Not provided,51.49575708,-0.178857257
388,Prunus,Mature,0,0,12.9, ,,,Low,51.4958327,-0.178805301
389,Acer campestre,Mature,0,0,4.8, ,,,Low,51.49591435,-0.178727712
390,Tilia,Mature,0,0,5.3, ,,,Low,51.49587088,-0.178645532
391,Betula pubescens,Mature,0,0,8.9, ,,,Vulnerable,51.49579039,-0.17886819
392,Quercus robur,Mature,0,0,16.6, ,,,Low,51.49586786,-0.178606539
393,Quercus robur,Mature,0,0,8.3, ,,,Low,51.49591252,-0.178795197
394,Prunus avium,Semi-mature,0,0,5.2, ,,,Vulnerable,51.49588769,-0.1785003
395,Quercus robur, ,0,0,11.5, ,,,Low,51.49592375,-0.178704484
396,Quercus robur,Mature,0,0,7.5, ,,,Low,51.49582837,-0.178595865
398,Quercus robur,Semi-mature,0,0,7.7, ,,,Low,51.49591372,-0.17876353
399,Quercus robur,Mature,0,0,7.1, ,,,Low,51.49591467,-0.178735002
400,Corylus avellana,Mature,0,0,5, ,,,Not provided,51.49589448,-0.17852247
357,Quercus robur,Mature,0,0,7.5, ,,,Low,51.49582444,-0.17880329
TBC,Lythraceae,Semi-mature,0,0,0, ,,,Moderate,51.49643294,-0.178695998
TBC,Platanus occidentalis x orientalis = p. x hispanica, ,0,0,0, ,,,Moderate,51.49586174,-0.174076412
TBC,Platanus occidentalis x orientalis = p. x hispanica, ,0,0,0, ,,,Moderate,51.49597482,-0.173905913
TBC,Platanus occidentalis x orientalis = p. x hispanica, ,0,0,0,,,,Moderate,51.49615055,-0.173939735
TBC,Platanus occidentalis x orientalis = p. x hispanica,,0,0,0, ,,,Not provided,,
